(+)-alpha-pinene	CC1=CCC2CC1C2(C)C
1-nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene	C1=CC2=C(C(C(C=C2)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=C1)[N+](=O)[O-]
1-nitronaphthalene	C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-]
1-nitronaphthalene-5,6-oxide	C1=CC2=C(C=CC3C2O3)C(=C1)[N+](=O)[O-]
1-nitronaphthalene-7,8-oxide	C1=CC2=C(C3C(O3)C=C2)C(=C1)[N+](=O)[O-]
1-nitrosonaphthalene	C1=CC=C2C(=C1)C=CC=C2N=O
1-palmitoyl-dihydroxyacetone-phosphate	CCCCCCCCCCCCCCCC(=O)OCC(=O)COP(=O)(O)O
1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate	C(C(COP(=O)(O)OC1C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)O)O)OC=O)OC=O
1-phosphatidyl-1D-myo-inositol-3-phosphate	C(C(COP(=O)(O)OC1C(C(C(C(C1O)OP(=O)(O)O)O)O)O)C(=O)O)C(=O)O
1-phosphatidyl-1D-myo-inositol-4-phosphate	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OC1C(C(C(C(C1O)O)OP(=O)([O-])[O-])O)O)OC(=O)CCCCCCCCCCCCCCC
1-piperideine-6-carboxylate	C1CC=NC(C1)C(=O)[O-]
1-pyrroline	C1CC=NC1
1-pyrroline-2-carboxylate	C1CC(=NC1)C(=O)O
1-pyrroline-5-carboxylate	C1CC(N=C1)C(=O)O
1-radyl-2-acyl-sn-glycero-3-phosphocholine	C[N+](C)(C)CCOP(=O)(O)OCC(CO)OC=O
10,11-dihydro-12-oxo-LTB4	CCCCCC=CCC(=O)CCC=CC=CC(CCCC(=O)O)O
10,11-dihydro-20-dihydroxy-LTB4	C(CCC(O)O)CC=CCC(CCC=CC=CC(CCCC(=O)O)O)O
10,11-dihydro-20-trihydroxy-LTB4	C(CCC(O)(O)O)CC=CCC(CCC=CC=CC(CCCC(=O)O)O)O
10,11-dihydro-LTB4	CCCCCC=CCC(CCC=CC=CC(CCCC(=O)O)O)O
10,13,16,19-docosatetraenoic acid	CCC=CCC=CCC=CCC=CCCCCCCCCC(=O)O
10,13,16-docosatriynoic acid	CCCCCC#CCC#CCC#CCCCCCCCCC(=O)O
10-HETE	CCCCCC=CCC=CC(C=CCC=CCCCC(=O)O)O
10-formyl-THF	C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
10-hydroperoxy-H4-neuroprostane	CCC=CCC1C2CC(C1C=CC(CC=CCC=CCCC(=O)O)OO)OO2
10-hydroxy-D4-neuroprostane	CCC=CCC1C(C(CC1=O)O)C=CC(CC=CCC=CCCC(=O)O)O
10-hydroxy-E4-neuroprostane	CCC=CCC1C(CC(=O)C1C=CC(CC=CCC=CCCC(=O)O)O)O
11,12,15-THETA	CCCCCC(C=CC(C(CC=CCC=CCCCC(=O)O)O)O)O
11,12-DHET	CCCCCC=CCC(C(CC=CCC=CCCCC(=O)O)O)O
11,12-EET	CCCCCC=CCC1C(O1)CC=CCC=CCCCC(=O)O
11,14,15-THETA	CCCCCC(C(C=CC(CC=CCC=CCCCC(=O)O)O)O)O
11-HETE	CCCCCC=CC=CC(CC=CCC=CCCCC(=O)O)O
11-HpODE	CCCCCC=CC(C=CCCCCCCCC(=O)O)OO
11-Octadecenoyl Coenzyme A	CCCCCCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
11-cis-retinal	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C
11-cis-retinol	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
11-cis-retinyl-palmitate	CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C
11-dehydro-thromboxane B2	CCCCCC(C=CC1C(C(CC(=O)O1)O)CC=CCCCC(=O)O)O
11-deoxycorticosterone	CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C
11-deoxycortisol	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C(=O)CO)O)C
11-hydroperoxy-H4-neuroprostane	CCC=CCC=CCC=CCC(C=CC1C2CC(C1CCC(=O)O)OO2)OO
11-hydroxy-D4-neuroprostane	CCC=CCC=CCC=CCC(C=CC1C(C(CC1=O)O)CCC(=O)O)O
11-hydroxy-E4-neuroprostane	CCC=CCC=CCC=CCC(C=CC1C(CC(=O)C1CCC(=O)O)O)O
11-trans-LTE4	CCCCCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N
11beta,17alpha,21-trihydroxypregnenolone	CC12CCC(CC1=CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O)O
11beta-hydroxyandrost-4-ene-3,17-dione	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4=O)C)O
11beta-hydroxyprogesterone	CC(=O)C1CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C
11h-14,15-EETA	CCCCCC1C(O1)C=CC(CC=CCC=CCCCC(=O)O)O
12(13)-EpOME	CCCCCC1C(O1)CC=CCCCCCCCC(=O)O
12(R)-HPETE	CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)OO
12(S)-HETE	CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)O
12(S)-HHT	CCCCCC(C=CC=CCC=CCCCC(=O)O)O
12(S)-HPETE	CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)OO
12,13-hydroxyoctadec-9(z)-enoate	CCCCCC(C(CC=CCCCCCCCC(=O)O)O)O
12,15,18,21-tetracosatetraenoic acid	CCC=CCC=CCC=CCC=CCCCCCCCCCCC(=O)O
12,20-diHETE	C(CCC=CCC(C=CC=CCC=CCCCC(=O)O)O)CCO
12,20-dioxo-LTB4	C(CCC=O)CC=CCC(=O)C=CC=CC=CC(CCCC(=O)O)O
12-epi-LTB4	CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
12-hydroxydodecanoic acid	C(CCCCCC(=O)O)CCCCCO
12-keto-LTB4	CCCCCC=CCC(=O)C=CC=CC=CC(CCCC(=O)O)O
12-oxo-10,11-dihydro-20-COOH-LTB4	C(CCC(=O)O)CC=CCC(=O)CCC=CC=CC(CCCC(=O)O)O
12-oxo-20-hydroxy-LTB4	C(CCC=CCC(=O)C=CC=CC=CC(CCCC(=O)O)O)CCO
12-oxo-c-LTB3	CCCCCC=CCC(=O)CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
12-oxoETE	CCCCCC=CCC(=O)C=CC=CCC=CCCCC(=O)O
13(S)-HODE	CCCCCC(C=CC=CCCCCCCCC(=O)O)O
13(S)-HPODE	CCCCCC(C=CC=CCCCCCCCC(=O)O)OO
13,14-dihydro-15-keto-PGD2	CCCCCC(=O)CCC1C(C(CC1=O)O)CC=CCCCC(=O)O
13,14-dihydro-15-oxo-lipoxin A4	CCCCCC(=O)CCC=CC=CC=CC(C(CCCC(=O)O)O)O
13,14-dihydro-lipoxin A4	CCCCCC(CCC=CC=CC=CC(C(CCCC(=O)O)O)O)O
13,16,19-docosatrienoic acid	CCC=CCC=CCC=CCCCCCCCCCCCC(=O)O
13-HETE	CCCCCC=CC(C=CCC=CCC=CCCCC(=O)O)O
13-cis-retinal	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C
13-cis-retinoate	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)[O-])C)C
13-cis-retinol	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
13-cis-retinoyl-beta-D-glucuronide	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)C)C
13-hydroxy-alpha-tocopherol	CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)CO)C(=C1O)C)C
13-hydroxy-gamma-tocopherol	CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)CO)O
14,15-DHET	CCCCCC(C(CC=CCC=CCC=CCCCC(=O)O)O)O
14,15-DiHETE	CCC=CCC(C(CC=CCC=CCC=CCCCC(=O)O)O)O
14,15-EET	CCCCCC1C(O1)CC=CCC=CCC=CCCCC(=O)O
14-Hydroxy-4,14-Retro-Retinol	CC1=CCCC(C1=CC=C(C)C=CC=C(C)C(CO)O)(C)C
14-demethyllanosterol	CC(CCC=C(C)C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C
14-hydroperoxy-H4-neuroprostane	CCC=CCC=CCC(C=CC1C2CC(C1CC=CCCC(=O)O)OO2)OO
14-hydroxy-E4-neuroprostane	CCC=CCC=CCC(C=CC1C(CC(=O)C1CC=CCCC(=O)O)O)O
14-hydroxytetradecanoic acid	C(CCCCCCC(=O)O)CCCCCCO
15(R)-HEPE	CCC=CCC(C=CC=CCC=CCC=CCCCC(=O)O)O
15(R)-HETE	CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)O
15(S)-HEPE	CCC=CCC(C=CC=CCC=CCC=CCCCC(=O)O)O
15(S)-HETE	CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)O
15(S)-HETrE	CCCCCC(C=CC=CCC=CCCCCCCC(=O)O)O
15(S)-HPETE	CCCCCC(C=CC=CCC=CCC=CCCCC(=O)O)OO
15(S)-HpEPE	CCC=CCC(C=CC=CCC=CCC=CCCCC(=O)O)OO
15-Keto-Prostaglandin F2A	CCCCCC(=O)C=CC1C(CC(C1CC=CCCCC(=O)O)O)O
15-dehydro-prostaglandin D2	CCCCCC(=O)C=CC1C(C(CC1=O)O)CC=CCCCC(=O)O
15-deoxy-PGD2	CCCCCC=CC=C1C(C(CC1=O)O)CC=CCCCC(=O)O
15-deoxy-delta-12,14-PGJ2	CCCCCC=CC=C1C(C=CC1=O)CC=CCCCC(=O)O
15-deoxy-prostaglandin J2	CCCCCC=CC=C1C(C=CC1=O)CC=CCCCC(=O)O
15-epi-lipoxin A4	CCCCCC(C=CC=CC=CC=CC(C(CCCC(=O)O)O)O)O
15-epi-lipoxin B4	CCCCCC(C(C=CC=CC=CC=CC(CCCC(=O)O)O)O)O
15-epi-lipoxin B5	CCC=CCC(C(C=CC=CC=CC=CC(CCCC(=O)O)O)O)O
15-keto-prostaglandin F2alpha	CCCCCC(=O)C=CC1C(CC(C1CC=CCCCC(=O)O)O)O
15-oxo-lipoxin A4	CCCCCC(=O)C=CC=CC=CC=CC(C(CCCC(=O)O)O)O
15-oxoETE	CCCCCC(=O)C=CC=CCC=CCC=CCCCC(=O)O
15H-11,12-EETA	CCCCCC(C=CC1C(O1)CC=CCC=CCCCC(=O)O)O
16(R)-HETE	CCCCC(C=CCC=CCC=CCC=CCCCC(=O)O)O
16(S)-hydroxy-18-oxo-18-CoA-LTE4	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N)O)O
16,18-oxo-18-CoA-dinor-LTE4	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N)O
16-glucuronide-estriol	CC12CCC3C(C1CC(C2O)OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O
16-hydroxyhexadecanoic acid	C(CCCCCCCC(=O)O)CCCCCCCO
16alpha-hydroxydehydroepiandrosterone	CC12CCC(CC1=CCC3C2CCC4(C3CC(C4=O)O)C)O
16alpha-hydroxyestrone	CC12CCC3C(C1CC(C2=O)O)CCC4=C3C=CC(=C4)O
16e-18-oxo-18-CoA-dinor-LTE4	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CCCCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N)O
17-HETE	CCCC(CC=CCC=CCC=CCC=CCCCC(=O)O)O
17-hydroxy-E4-neuroprostane	CCC=CCC(C=CC1C(CC(=O)C1CC=CCC=CCCC(=O)O)O)O
17alpha,20alpha-Dihydroxypregn-4-en-3-one	CC(C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O)O
17alpha,20alpha-dihydroxycholesterol	CC(C)CCCC(C)(C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O)O
17alpha,21-dihydroxypregnenolone	CC12CCC(CC1=CCC3C2CCC4(C3CCC4(C(=O)CO)O)C)O
17alpha-hydroxypregnenolone	CC(=O)C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O
17alpha-hydroxypregnenolone sulfate	CC(=O)C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)OS(=O)(=O)O)C)C)O
17alpha-hydroxyprogesterone	CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
17beta-estradiol-2,3-quinone	CC12CCC3C(C1CCC2O)CCC4=CC(=O)C(=O)C=C34
17beta-estradiol-3,4-quinone	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=O)C4=O
18(R)-hydroxy-20-oxo-20-CoA-LTE4	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N)O)O
18-CoA-18-oxo-dinor-LTB4	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O)O
18-HETE	CCC(CCC=CCC=CCC=CCC=CCCCC(=O)O)O
18-hydroxy-all-trans-retinoate	CC(=CC=CC(=CC(=O)O)C)C=CC1=C(CCCC1(C)C)CO
18-hydroxycorticosterone	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)CO)O
19(S)-HETE	CC(CCCC=CCC=CCC=CCC=CCCCC(=O)O)O
19-Hydroxyandrost-4-Ene-3,17-Dione	CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34CO
19-hydroxyandrostenedione	CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34CO
19-hydroxytestosterone	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34CO
19-oxo-testosterone	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C=O
19-oxoandrostenedione	CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34C=O
1D-myo-inositol-1,3,4,6-tetrakisphosphate	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)O)OP(=O)(O)O)OP(=O)(O)O)O
1D-myo-inositol-1,4,5,6-tetrakisphosphate	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)O
1D-myo-inositol-1,4-bisphosphate	C1(C(C(C(C(C1OP(=O)(O)O)O)O)OP(=O)(O)O)O)O
1D-myo-inositol-3,4,5,6-tetrakisphosphate	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)O
1D-myo-inositol-3,4-bisphosphate	C1(C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)O)O)O
1D-myo-inositol-3-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
1D-myo-inositol-4-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
1a,11b-dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene	CC1=C2C=CC3=C(C2=C(C4=CC=CC=C14)C)C=CC5C3O5
2(S)-pristanal	CC(C)CCCC(C)CCCC(C)CCCC(C)C=O
2,2-dichloro-1,1-ethanediol	C(C(Cl)Cl)(O)O
2,2-dichloroacetaldehyde	C(=O)C(Cl)Cl
2,3-Dihydro-1H-Indole-5,6-Dione	C1CNC2=CC(=O)C(=O)C=C21
2,3-bisphospho-D-glycerate	C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
2,3-dihydro-2-S-glutathionyl-3-hydroxy bromobenzene	C1=CC(C(C(=C1)Br)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
2,3-diketo-5-methylthiopentyl-1-phosphate	CSCCC(=O)C(=O)COP(=O)(O)O
2,3-diketo-L-gulonate	C(C(C(C(=O)C(=O)C(=O)O)O)O)O
2,3-epoxy-2,3-dihydro-2-methyl-3-phytyl-1,4-naphthoquinone	CC(C)CCCC(C)CCCC(C)CCCC(=CCC12C(=O)C3=CC=CC=C3C(=O)C1(O2)C)C
2,5-diaminopyrimidine nucleoside triphosphate	C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
2,5-dihydroxybenzoate	C1=CC(=C(C=C1O)C(=O)O)[O-]
2,6-dimethyl-trans-2-heptenoyl-CoA	COC(=O)CC(=O)CC(=O)OC
2,6-dimethylheptanoyl-carnitine	CC(C)CCCC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C
2-(S-glutathionyl)acetyl chloride	C(CC(=O)NC(CSCC(=O)Cl)C(=O)NCC(=O)O)C(C(=O)O)N
2-(S-glutathionyl)acetyl glutathione	C(CC(=O)NC(CSCC(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N
2-(alpha-hydroxyethyl)thiamine-diphosphate	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O
2-Decaprenyl-5-Hydroxy-6-Methoxy-3-Methyl-1,4-Benzoquinone	CC1=C(C(=O)C(=C(C1=O)O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
2-Decaprenyl-6-Methoxy-1,4-Benzoquinone	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C)C)C)C)C
2-Decaprenyl-6-Methoxy-3-Methyl-1,4-Benzoquinone	CC1=C(C(=O)C(=CC1=O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
2-Hydroxy-3-Methyl-Valerate	CCC(C)C(C(=O)O)O
2-Hydroxyadipic Acid	C(CC(C(=O)O)O)CC(=O)O
2-Hydroxyamino-3,8-Dimethylimidazo[4,5-F]Quinoxaline	CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)NO
2-Hydroxyhexadecanal	CCCCCCCCCCCCCCC(C=O)O
2-Linoleoylglycerophosphocholine	CCCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C
2-Oleoylglycerophosphocholine	CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C
2-Palmitoylglycerophosphocholine	CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C
2-S-glutathionyl acetate	C(CC(=O)NC(CSCC(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N
2-Trans,6-Trans,10-Trans-Geranylgeranyl Diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C
2-amino-3-carboxymuconate semialdehyde	C(=CC(=C(C(=O)O)N)C(=O)O)C=O
2-amino-3-oxoadipate	C(CC(=O)O)C(=O)C(C(=O)O)N
2-aminoadipate 6-semialdehyde	C(CC=O)CC(C(=O)O)N
2-aminoethylphosphonate	C(CP(=O)(O)O)N
2-aminomuconate	C(=CC(=O)[O-])C=C(C(=O)[O-])N
2-aminomuconate semialdehyde	C(=CC=O)C=C(C(=O)O)N
2-arachidonoylglycerol	CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO
2-bromoacetaldehyde	C(C=O)Br
2-bromophenol	C1=CC=C(C(=C1)O)Br
2-carboxy-2,3-dihydro-5,6-dihydroxyindole	C1C(NC2=CC(=C(C=C21)O)O)C(=O)O
2-deoxy-D-ribose-1-phosphate	C1C(C(OC1OP(=O)(O)O)CO)O
2-deoxy-D-ribose-5-phosphate	C1C(C(OC1O)COP(=O)(O)O)O
2-hydroxy-3-(4-hydroxyphenyl)propenoate	C1=CC(=CC=C1C=C(C(=O)O)O)O
2-hydroxy-3-methoxy-17beta-estradiol	CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)O)OC
2-hydroxy-3-methoxyestrone	CC12CCC3C(C1CCC2=O)CCC4=CC(=C(C=C34)O)OC
2-hydroxy-3-oxopropanoate	C(=O)C(C(=O)[O-])O
2-hydroxy-3-phenylpropenoate	C1=CC=C(C=C1)C=C(C(=O)O)O
2-hydroxybutyrate	CCC(C(=O)O)O
2-hydroxyestradiol-17beta	CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)O)O
2-hydroxyestrone	CC12CCC3C(C1CCC2=O)CCC4=CC(=C(C=C34)O)O
2-hydroxyestrone-1-S-glutathione	CC12CCC3C(C1CCC2=O)CCC4=CC(=C(C(=C34)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)O
2-hydroxyestrone-4-S-glutathione	CC12CCC3C(C1CCC2=O)CCC4=C(C(=C(C=C34)O)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
2-hydroxyglutarate	C(CC(=O)O)C(C(=O)O)O
2-hydroxyphenylacetate	C1=CC=C(C(=C1)CC(=O)O)O
2-hydroxyphytanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCCC(C)C(C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
2-methoxy-6-(all-trans-decaprenyl)phenol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C)C)C)C
2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)O)OC)O)C)C)C)C)C)C)C)C)C)C
2-methoxyestradiol-17beta	CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O
2-methoxyestrone	CC12CCC3C(C1CCC2=O)CCC4=CC(=C(C=C34)OC)O
2-methyl-3-oxopropanoate	CC(C=O)C(=O)[O-]
2-methylacetoacetyl-CoA	CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-methylbutyryl-CoA	CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-methylbutyrylglycine	CCC(C)C(=O)NCC(=O)O
2-methylcitrate	CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
2-methylglutaconic acid	CC(=CCC(=O)O)C(=O)O
2-naphthol	C1=CC=C2C=C(C=CC2=C1)O
2-oxo-3-methylvalerate	CCC(C)C(=O)C(=O)O
2-oxoadipate	C(CC(=O)C(=O)O)CC(=O)O
2-oxobutyrate	CCC(=O)C(=O)O
2-oxoglutaramate	C(CC(=O)N)C(=O)C(=O)O
2-phenylacetamide	C1=CC=C(C=C1)CC(=O)N
2-phospho-D-glycerate	C(C(C(=O)O)OP(=O)(O)O)O
2-phosphoglycolate	C(C(=O)[O-])OP(=O)([O-])[O-]
2-trans,6-trans-farnesal	CC(=CCCC(=CCCC(=CC=O)C)C)C
2-trans-4-cis-decadienoyl-CoA	CCCCCC=CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
20-COOH-10,11-dihydro-LTB4	C(CCC(=O)O)CC=CCC(CCC=CC=CC(CCCC(=O)O)O)O
20-COOH-LTB4	C(CCC(=O)O)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
20-COOH-LTE4	C(CCC(=O)O)CC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N
20-OH-LTB4	C(CCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O)CCO
20-dihydroxy-LTB4	C(CCC(O)O)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
20-hydroxy-E4-neuroprostane	CCC(C=CC1C(CC(=O)C1CC=CCC=CCC=CCCC(=O)O)O)O
20-hydroxy-LTE4	C(CCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N)CCO
20-hydroxycholesterol	CC(C)CCCC(C)(C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O
20-oxo-LTB4	C(CCC=O)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
20-oxo-LTE4	C(CCC=O)CC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)O)N
20-trihydroxy-LTB4	C(CCC(O)(O)O)CC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O
20alpha-hydroxy-4-pregnen-3-one	CC(C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
21-deoxycortisol	CC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O
