(+)-alpha-pinene	CC1=CCC2CC1C2(C)C
3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid	
3-Hexenoyl Coenzyme A	
3-Hydoxy-Suberic Acid	
3-Hydoxy-Suberyl Coenzyme A	
3-Hydroxy Butyryl Carnitine	
3-Hydroxy Tetradecenoyl-7 Coenzyme A	
3-Hydroxy Tetradecenoyl-7-Carnitine	
3-Hydroxy Trans5,8Tetradecadienoyl Carnitine	
3-Hydroxy Trans5,8Tetradecadienoyl Coenzyme A	
3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine	
3-Hydroxy Trans7,10-Hexadecadienoyl Coenzyme A	
3-Hydroxy-3-Methyl-Glutarate	
3-Hydroxy-Adipate	
3-Hydroxy-Adipoyl Coenzyme A	
3-Hydroxy-Glutarate	C(C(CC(=O)O)O)C(=O)O
3-Hydroxy-Glutaryl Coenzyme A	
3-Hydroxy-Isovaleryl Carnitine	
3-Hydroxy-Sebacic Acid	C(CCCC(=O)O)CCC(CC(=O)O)O
3-Hydroxy-Sebacoyl Coenzyme A	
3-Hydroxy-Tetradecanoyl Carnitine	
3-Hydroxycinnamic Acid	C1=CC(=CC(=C1)O)C=CC(=O)O
3-Hydroxydecanoylcarnitine	CCCCCCCC(CC(=O)OC(CCC(=O)[O-])[N+](C)(C)C)O
3-Hydroxydodecanoylcarnitine	CCCCCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O
3-Hydroxyhexadecanoyl Coenzyme A	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Hydroxyhexadecanoylcarnitine	CCCCCCCCCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O
3-Hydroxyhexadecenoyl Coenzyme A	
3-Hydroxyhexadecenoylcarnitine	CCCCCCC=CCCCCCC(CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C)O
3-Hydroxyisovaleric Acid	CC(C)(CC(=O)O)O
3-Hydroxyisovaleryl Coenzyme A	CC(C)(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-Hydroxyoctadecadienoyl Coenzyme A	
3-Hydroxyoctadecadienoylcarnitine	CCCCCCCCCCCCCC=CC(=CC(=O)C(CC(=O)[O-])(C[N+](C)(C)C)O)O
3-Hydroxyoctadecanoyl Carnitine	
3-Hydroxyphenylpropionic Acid (3-Hppa)	
3-Hydroxystearoyl-ACP	
3-Methyl-Glutaconate	
3-Methyl-Glutarate	CC(CC(=O)O)CC(=O)O
3-Methyl-Thio-Propionate	
3-Methylhistidine	CN1C=NC=C1CC(C(=O)O)N
3-O-methyldopa	COC1=C(C=CC(=C1)CC(C(=O)O)N)O
3-Oxo-Cis-8-Tetradecenoyl Coenzyme A	
3-Oxo-Cis-9-Octadecenoyl Coenzyme A	
3-Oxostearoyl-ACP	
3-UMP	
3-alpha-iso-pravastatin	
3-amino-propanal	C(C[NH3+])C=O
3-beta-D-glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein	
3-carboxy-1-hydroxypropyl-ThPP	CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(CCC(=O)O)O)CCOP(=O)(O)OP(=O)(O)O
3-carboxy-alpha-chromanol	
3-decaprenyl-4-hydroxybenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C)C)C
3-dehydro-Deoxycholate	
3-dehydro-L-gulonate	C(C(C(C(=O)C(C(=O)O)O)O)O)O
3-dehydro-Lithocholate	
3-dehydrosphinganine	CCCCCCCCCCCCCCCC(=O)C(CO)N
3-demethylubiquinol-10	CC1=C(C(=C(C(=C1O)O)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid	C1C(C(C(OC1(C(=O)O)O)C(C(CO)O)O)O)O
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid-9-phosphate	
3-hydroxy R-ibuprofen	
3-hydroxy S-ibuprofen	
3-hydroxy S-ibuprofen-glucuronide	
3-hydroxy-L-kynurenine	C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
3-hydroxy-N6,N6,N6-trimethyl-L-lysine	C[N+](C)(C)CCCC(C(C(=O)O)N)O
3-hydroxy-THA-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxy-acetaminophen	
3-hydroxyanthranilate	C1=CC(=C(C(=C1)O)N)C(=O)O
3-hydroxydocosanoyl-CoA	CCCCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyeicosanoyl-CoA	CCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyheneicosanoyl-CoA	
3-hydroxyheptadecanoyl-CoA	CCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyheptadecanoyl-[ACP]	
3-hydroxyheptanoyl-CoA	CCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyheptanoyl-[ACP]	
3-hydroxyhexacosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyisobutyrate	CC(CO)C(=O)[O-]
3-hydroxyisobutyryl-CoA	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-hydroxykynurenamine	C1=CC(=C(C(=C1)O)N)C(=O)CCN
3-hydroxykynurenine-O-beta-D-glucoside	
3-hydroxynonadecanoyl-CoA	
3-hydroxynonanoyl-CoA	
3-hydroxynonanoyl-[ACP]	
3-hydroxyoctadecanoyl-CoA	CCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxypentadecanoyl-CoA	CCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxypentadecanoyl-[ACP]	
3-hydroxypentanoyl-CoA	
3-hydroxypentanoyl-[ACP]	
3-hydroxypristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxypropionyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCO)O
3-hydroxytetracosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxytricosanoyl-CoA	
3-hydroxytridecanoyl-CoA	CCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxytridecanoyl-[ACP]	
3-hydroxyundecanoyl-CoA	CCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
3-hydroxyundecanoyl-[ACP]	
3-iodo-L-tyrosine	C1=CC(=C(C=C1CC(C(=O)O)N)I)O
3-keto-4-methylzymosterol	CC1C2CCC3=C(C2(CCC1=O)C)CCC4(C3CCC4C(C)CCC=C(C)C)C
3-keto-5,6,-dihydroxy-pravastatin	
3-keto-THA-CoA	CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-keto-beta-D-galactose	C(C1C(C(=O)C(C(O1)O)O)O)O
3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA	
3-ketolactose	C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O
3-ketopristanoyl-CoA	CC(C)CCCC(C)CCCC(C)CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-mercaptolactate	C(C(C(=O)O)O)S
3-mercaptolactate-cysteine-disulfide	C(C(C(=O)O)N)SSCC(C(=O)O)O
3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC(=C1)C(=O)O)OC)[O-])C)C)C)C)C)C)C)C)C)C
3-methoxy-4-hydroxyphenylacetaldehyde	COC1=C(C=CC(=C1)CC=O)O
3-methoxy-4-hydroxyphenylglycolaldehyde	COC1=C(C=CC(=C1)C(C=O)O)O
3-methoxy-acetaminophen	CC(=O)NC1=CC(=C(C=C1)O)OC
3-methoxytyramine	COC1=C(C=CC(=C1)CCN)O
3-methyl-2-oxobutyrate	CC(C)C(=O)C(=O)[O-]
3-methylcrotonoylglycine	
3-methylcrotonyl-CoA	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
3-methylglutaconyl-CoA	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)CC(=O)O
3-monoiodo-L-thyronine	C1=CC(=CC=C1O)OC2=C(C=C(C=C2)CC(C(=O)[O-])[NH3+])I
3-monoiodo-L-thyronine-4-O-sulfate	
3-oxo-(2S)-methylisocapryloyl-CoA	CC(C)CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA	
3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA	
3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA	
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate	
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA	
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate	
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA	
3-oxo-11-cis-eicosenoyl-CoA	
3-oxo-11-cis-octadecenoyl-CoA	CCCCCCC=CCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
3-oxo-11cis-docosenoyl-CoA	
3-oxo-13-cis-eicosenoyl-CoA	
3-oxo-13cis-docosenoyl-CoA	
3-oxo-4(R),8-dimethyl-nonanoyl-CoA	CC(C)CCCC(C)C(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-4-methyl-pentanoyl-CoA	CC(C)C(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA	
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate	
3-oxo-6(S)-hydroxy-tetradec-(8Z)-enoate	
3-oxo-7-hexadecenoyl-CoA	
3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate	
3-oxo-8(S)-hydroxy-hexadeca-(6E,10Z)-dienoate	
3-oxo-9-cis-eicosenoyl-CoA	
3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-cis,cis-5,8-tetradecadienoyl-CoA	
3-oxo-cis,cis-7,10-hexadecadienoyl-CoA	
3-oxo-cis-15-tetracosaenoyl-CoA	
3-oxo-dihomo-gamma-linolenoyl-CoA	
3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA	
3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	CCC=CCC=CCC=CCC=CCC=CCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA	CCCCCC=CCC=CCC=CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-eicosadienoyl-CoA	
3-oxo-hexacosenoyl-CoA	
3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	CCC=CCC=CCC=CCC=CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	
3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxodecanoyl-CoA	CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxodecanoyl-[ACP]	
3-oxodocasa-cis,cis-13,16-dienoyl-CoA	
3-oxodocosanoyl-CoA	CCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxododecanoyl-CoA	CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxododecanoyl-[ACP]	
3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA	
3-oxoeicosa-cis,cis-11,14-dienoyl-CoA	CCCCCC=CCC=CCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxoeicosanoyl-CoA	CCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxoheneicosanoyl-CoA	
3-oxoheptadecanoyl-CoA	
3-oxoheptadecanoyl-[ACP]	
3-oxoheptanoyl-CoA	CC(=C)C(CCC(=O)C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxoheptanoyl-[ACP]	
3-oxohexacosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxohexadecanoyl-[ACP]	
3-oxohexanoyl-CoA	CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxohexanoyl-[ACP]	
3-oxolaur-6-cis-enoyl-CoA	
3-oxolinoleoyl-CoA	
3-oxomyrist-5-enoyl-CoA	
3-oxomyrist-7-enoyl-CoA	
3-oxononadecanoyl-CoA	
3-oxononanoyl-CoA	CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxononanoyl-[ACP]	
3-oxooctadecanoyl-CoA	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxooctanoyl-CoA	CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxooctanoyl-[ACP]	
3-oxooleoyl-CoA	CCCCCCCCC=CCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopalmitoleoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopalmitoyl-CoA	CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopentadecanoyl-CoA	
3-oxopentadecanoyl-[ACP]	
3-oxopentanoyl-CoA	CCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxopentanoyl-[ACP]	
3-oxopropanoate	C(C=O)C(=O)[O-]
3-oxopropionyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC=O)O
3-oxotetracosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxotetradecanoyl-CoA	CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxotetradecanoyl-[ACP]	
3-oxotricosanoyl-CoA	
3-oxotridecanoyl-CoA	CCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxotridecanoyl-[ACP]	
3-oxoundecanoyl-CoA	CC(C)CC(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(C[Se])NC(=O)C(CC(=O)N)N
3-oxoundecanoyl-[ACP]	
3-phospho-D-glycerate	C(C(C(=O)O)O)OP(=O)(O)O
3-phosphoadenylylselenate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)OP(=O)(O)O)O)N
3-phosphonooxypyruvate	C(C(=O)C(=O)O)OP(=O)(O)O
3-phosphoserine	C(C(C(=O)O)N)OP(=O)(O)O
3-succinoylpyridine	C1=CC(=CN=C1)C(=O)CCC(=O)O
3-sulfinoalanine	C(C(C(=O)O)N)S(=O)O
3-sulfinylpyruvic acid	C(C(=O)C(=O)O)S(=O)O
3-sulfopyruvate	C(C(=O)C(=O)O)S(=O)(=O)O
3-ureidoisobutyrate	CC(CNC(=O)N)C(=O)O
3-ureidopropionate	C(CNC(=O)N)C(=O)O
31-DMT or M-II, 31-O-desmethyl tacrolimus	
31-O-Desmethyl,19-Hydroxy,37, 39-Epoxy-tacrolimus	
3alpha,12alpha-dihydroxy-5beta-cholanate	CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C
3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al	CC(CCC(C(C)C=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one	CC(CCC(=O)C(C)(C)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA	CC(CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(C7)O)C)O)O)C
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA	CC(CCC=C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(C7)O)C)O)O)C
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al	CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)C=O
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate	CC(CCCC(C)C(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al	CC(CCC(C(C)C=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl coa	CC(CCC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(CCC6C5C(CC7C6(CCC(C7)O)C)O)C
3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA	CC(CCC=C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(CCC6C5C(CC7C6(CCC(C7)O)C)O)C
3alpha,7alpha-dihydroxy-5beta-cholestan-26-al	CC(CCCC(C)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C)C=O
3alpha,7alpha-dihydroxy-5beta-cholestan-27-al	CC(CCCC(C)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C)C=O
3alpha,7alpha-dihydroxy-5beta-cholestanate	CC(CCCC(C)C(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
3alpha-hydroxy-5alpha-pregnan-20-one	CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C
4(R),8-dimethyl-nonanoyl-CoA	
4(R),8-dimethyl-trans-2-nonenoyl-CoA	COC(=O)CC(=O)CC(=O)OC
4(R)-hydroxy-dodec-(6Z)-enoate	
4(S)-hydroxy-dodec-(6Z)-enoate	
4,4-Dimethylcholesta-8(9),14-Dien-3Beta-Ol	CC(C)CCCC(C)C1CC=C2C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C
